* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = D:\Applied Biosystems\StepOne Software v2.3\experiments\Lardelli\New Folder\KB_20230821_salbutamolExp1_2_nagluhomxhet7m_genotyping.eds
* Experiment Run End Time = 2023-08-21 10:16:59 AM PDT
* Instrument Type = steponeplus
* Passive Reference = 

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	RQ	RQ Min	RQ Max	Cт	Cт Mean	Cт SD	ΔCт	ΔCт Mean	ΔCт SE	HK Control ΔCт Mean	HK Control ΔCт SE	ΔΔCт	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Efficiency	Tm1	Tm2	Tm3	Comments	AMPNC	MTP
A1		naglu	NTC	SYBR	None				4.8818	4.8818								true	6188.2002	true	1	2	1	88.7826	82.1191	84.4048		Y	Y
A2	het pos control	naglu	UNKNOWN	SYBR	None				10.0096	10.0096								true	6188.2002	true	1	2	1	82.2813	79.4532			N	Y
A3	hom pos control	naglu	UNKNOWN	SYBR	None				27.3221	27.3221								true	6188.2002	true	3	16	1	80.1254				N	N
A4	Sample 1	naglu	UNKNOWN	SYBR	None				21.432	21.432								true	6188.2002	true	3	14	1	82.7302	79.706			N	Y
A5	Sample 2	naglu	UNKNOWN	SYBR	None				Undetermined									true	6188.2002	true	1	2	1	81.0177				N	N
A6	Sample 3	naglu	UNKNOWN	SYBR	None				19.4159	19.4159								true	6188.2002	true	3	14	1	79.8625				N	N
A7	Sample 4	naglu	UNKNOWN	SYBR	None				21.5901	21.5901								true	6188.2002	true	3	14	1	79.9857				N	N
A8	Sample 5	naglu	UNKNOWN	SYBR	None				18.768	18.768								true	6188.2002	true	3	11	1	82.8213	79.7215			N	Y
A9	Sample 6	naglu	UNKNOWN	SYBR	None				19.5484	19.5484								true	6188.2002	true	3	10	1	83.2751	80.0556			N	Y
A10	Sample 7	naglu	UNKNOWN	SYBR	None				19.8535	19.8535								true	6188.2002	true	3	11	1	81.304				N	N
A11	Sample 8	naglu	UNKNOWN	SYBR	None				4.2118	4.2118								true	6188.2002	true	1	2	1	81.2793				N	N
