* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = D:\Applied Biosystems\StepOne Software v2.3\experiments\Lardelli\Karissa\20240112 KB naglu genotyping salbutamol exp 1-3.eds
* Experiment Run End Time = 2024-01-12 07:20:34 AM PST
* Instrument Type = steponeplus
* Passive Reference = 

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	RQ	RQ Min	RQ Max	Cт	Cт Mean	Cт SD	ΔCт	ΔCт Mean	ΔCт SE	HK Control ΔCт Mean	HK Control ΔCт SE	ΔΔCт	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Efficiency	Tm1	Tm2	Tm3	Comments	EXPFAIL	MTP
A1		naglu	NTC	SYBR	None				Undetermined									true	4290.6543	true	3	34	1	88.9143	74.8863			N	Y
A2	het pos control	naglu	UNKNOWN	SYBR	None				Undetermined									true	4290.6543	true	3	34	1	88.9337	74.0925			Y	Y
A3	hom pos control	naglu	UNKNOWN	SYBR	None				Undetermined									true	4290.6543	true	3	34	1	88.9597	73.9005			Y	Y
A4	Sample 1	naglu	UNKNOWN	SYBR	None				20.7196	20.7196								true	4290.6543	true	3	15	1	83.4841	75.751	80.635		N	Y
A5	Sample 2	naglu	UNKNOWN	SYBR	None				23.1438	23.1438								true	4290.6543	true	3	18	1	81.453				N	N
A6	Sample 3	naglu	UNKNOWN	SYBR	None				21.0628	21.0628								true	4290.6543	true	3	15	1	83.7102	75.8755	80.8613		N	Y
A7	Sample 4	naglu	UNKNOWN	SYBR	None				23.0759	23.0759								true	4290.6543	true	3	18	1	83.7051	76.0883	80.8615		N	Y
A8	Sample 5	naglu	UNKNOWN	SYBR	None				22.9643	22.9643								true	4290.6543	true	3	16	1	83.4192	76.0054			N	Y
A9	Sample 6	naglu	UNKNOWN	SYBR	None				18.8711	18.8711								true	4290.6543	true	3	15	1	83.76	75.8242	80.8095		N	Y
A10	Sample 7	naglu	UNKNOWN	SYBR	None				22.7358	22.7358								true	4290.6543	true	3	17	1	83.9825	76.1483	81.032		N	Y
