0.000,"Info","2023-08-18 16:40:47","Service 'ymaze_inLT' : Execution start"
0.000,"Info","Subject Identification","11"
0.000,"Info","Apparatus","139"
0.000,"Info","Unit ID","3A843F"
"TIME","","","ARENA","ACTION","ZONE"
30.956,"Info","Arena",1,"Enter_Zone",2
30.956,"Info","Arena",2,"Enter_Zone",2
30.956,"Info","Arena",3,"Enter_Zone",3
30.956,"Info","Arena",4,"Enter_Zone",1
30.956,"Info","Arena",5,"Enter_Zone",1
30.956,"Info","Arena",6,"Enter_Zone",1
30.956,"Info","Arena",7,"Enter_Zone",1
30.956,"Info","Arena",8,"Enter_Zone",2
32.156,"Info","Arena",3,"Exit_Zone",3
32.156,"Info","Arena",3,"Enter_Zone",4
32.456,"Info","Arena",3,"Exit_Zone",4
32.456,"Info","Arena",3,"Enter_Zone",3
32.489,"Info","Arena",5,"Exit_Zone",1
32.489,"Info","Arena",5,"Enter_Zone",4
32.589,"Info","Arena",5,"Exit_Zone",4
32.589,"Info","Arena",5,"Enter_Zone",2
32.756,"Info","Arena",7,"Exit_Zone",1
32.756,"Info","Arena",7,"Enter_Zone",4
33.022,"Info","Arena",7,"Exit_Zone",4
33.022,"Info","Arena",7,"Enter_Zone",3
33.589,"Info","Arena",4,"Exit_Zone",1
33.589,"Info","Arena",4,"Enter_Zone",4
33.722,"Info","Arena",4,"Exit_Zone",4
33.722,"Info","Arena",4,"Enter_Zone",2
34.922,"Info","Arena",7,"Exit_Zone",3
34.922,"Info","Arena",7,"Enter_Zone",4
35.122,"Info","Arena",4,"Exit_Zone",2
35.122,"Info","Arena",4,"Enter_Zone",4
35.189,"Info","Arena",4,"Exit_Zone",4
35.189,"Info","Arena",4,"Enter_Zone",1
35.389,"Info","Arena",7,"Exit_Zone",4
35.389,"Info","Arena",7,"Enter_Zone",1
35.989,"Info","Arena",4,"Exit_Zone",1
35.989,"Info","Arena",4,"Enter_Zone",4
36.022,"Info","Arena",4,"Exit_Zone",4
36.022,"Info","Arena",4,"Enter_Zone",2
38.422,"Info","Arena",7,"Exit_Zone",1
38.422,"Info","Arena",7,"Enter_Zone",4
38.489,"Info","Arena",7,"Exit_Zone",4
38.489,"Info","Arena",7,"Enter_Zone",2
38.755,"Info","Arena",3,"Exit_Zone",3
38.755,"Info","Arena",3,"Enter_Zone",4
39.355,"Info","Arena",3,"Exit_Zone",4
39.355,"Info","Arena",3,"Enter_Zone",1
39.688,"Info","Arena",8,"Exit_Zone",2
39.688,"Info","Arena",8,"Enter_Zone",4
39.855,"Info","Arena",8,"Exit_Zone",4
39.855,"Info","Arena",8,"Enter_Zone",1
41.922,"Info","Arena",7,"Exit_Zone",2
41.922,"Info","Arena",7,"Enter_Zone",4
42.022,"Info","Arena",7,"Exit_Zone",4
42.022,"Info","Arena",7,"Enter_Zone",3
43.322,"Info","Arena",4,"Exit_Zone",2
43.322,"Info","Arena",4,"Enter_Zone",4
43.455,"Info","Arena",3,"Exit_Zone",1
43.455,"Info","Arena",3,"Enter_Zone",4
43.488,"Info","Arena",4,"Exit_Zone",4
43.488,"Info","Arena",4,"Enter_Zone",1
43.521,"Info","Arena",3,"Exit_Zone",4
43.521,"Info","Arena",3,"Enter_Zone",3
44.421,"Info","Arena",7,"Exit_Zone",3
44.421,"Info","Arena",7,"Enter_Zone",4
44.488,"Info","Arena",7,"Exit_Zone",4
44.488,"Info","Arena",7,"Enter_Zone",1
46.688,"Info","Arena",8,"Exit_Zone",1
46.688,"Info","Arena",8,"Enter_Zone",4
46.855,"Info","Arena",8,"Exit_Zone",4
46.855,"Info","Arena",8,"Enter_Zone",3
52.721,"Info","Arena",7,"Exit_Zone",1
52.721,"Info","Arena",7,"Enter_Zone",2
54.021,"Info","Arena",5,"Exit_Zone",2
54.021,"Info","Arena",5,"Enter_Zone",3
54.321,"Info","Arena",4,"Exit_Zone",1
54.321,"Info","Arena",4,"Enter_Zone",4
54.521,"Info","Arena",4,"Exit_Zone",4
54.521,"Info","Arena",4,"Enter_Zone",3
54.721,"Info","Arena",6,"Exit_Zone",1
54.721,"Info","Arena",6,"Enter_Zone",4
54.754,"Info","Arena",7,"Exit_Zone",2
54.754,"Info","Arena",7,"Enter_Zone",4
54.854,"Info","Arena",6,"Exit_Zone",4
54.854,"Info","Arena",6,"Enter_Zone",2
55.020,"Info","Arena",7,"Exit_Zone",4
55.020,"Info","Arena",7,"Enter_Zone",3
57.120,"Info","Arena",6,"Exit_Zone",2
57.120,"Info","Arena",6,"Enter_Zone",4
57.154,"Info","Arena",7,"Exit_Zone",3
57.154,"Info","Arena",7,"Enter_Zone",4
57.187,"Info","Arena",6,"Exit_Zone",4
57.187,"Info","Arena",6,"Enter_Zone",3
57.354,"Info","Arena",7,"Exit_Zone",4
57.354,"Info","Arena",7,"Enter_Zone",1
58.054,"Info","Arena",4,"Exit_Zone",3
58.054,"Info","Arena",4,"Enter_Zone",4
58.096,"Info","Arena",4,"Exit_Zone",4
58.096,"Info","Arena",4,"Enter_Zone",1
58.354,"Info","Arena",6,"Exit_Zone",3
58.354,"Info","Arena",6,"Enter_Zone",4
58.420,"Info","Arena",6,"Exit_Zone",4
58.420,"Info","Arena",6,"Enter_Zone",2
59.154,"Info","Arena",4,"Exit_Zone",1
59.154,"Info","Arena",4,"Enter_Zone",4
59.253,"Info","Arena",4,"Exit_Zone",4
59.253,"Info","Arena",4,"Enter_Zone",3
59.620,"Info","Arena",7,"Exit_Zone",1
59.620,"Info","Arena",7,"Enter_Zone",4
59.753,"Info","Arena",7,"Exit_Zone",4
59.753,"Info","Arena",7,"Enter_Zone",2
61.953,"Info","Arena",7,"Exit_Zone",2
61.953,"Info","Arena",7,"Enter_Zone",4
62.320,"Info","Arena",7,"Exit_Zone",4
62.320,"Info","Arena",7,"Enter_Zone",3
64.686,"Info","Arena",7,"Exit_Zone",3
64.686,"Info","Arena",7,"Enter_Zone",4
64.886,"Info","Arena",7,"Exit_Zone",4
64.886,"Info","Arena",7,"Enter_Zone",2
67.119,"Info","Arena",7,"Exit_Zone",2
67.119,"Info","Arena",7,"Enter_Zone",4
67.419,"Info","Arena",7,"Exit_Zone",4
67.419,"Info","Arena",7,"Enter_Zone",1
67.853,"Info","Arena",4,"Exit_Zone",3
67.853,"Info","Arena",4,"Enter_Zone",2
69.019,"Info","Arena",4,"Exit_Zone",2
69.019,"Info","Arena",4,"Enter_Zone",4
69.119,"Info","Arena",4,"Exit_Zone",4
69.119,"Info","Arena",4,"Enter_Zone",3
69.753,"Info","Arena",7,"Exit_Zone",1
69.753,"Info","Arena",7,"Enter_Zone",4
69.819,"Info","Arena",7,"Exit_Zone",4
69.819,"Info","Arena",7,"Enter_Zone",2
70.552,"Info","Arena",8,"Exit_Zone",3
70.552,"Info","Arena",8,"Enter_Zone",4
70.588,"Info","Arena",8,"Exit_Zone",4
70.588,"Info","Arena",8,"Enter_Zone",1
71.186,"Info","Arena",4,"Exit_Zone",3
71.186,"Info","Arena",4,"Enter_Zone",4
71.219,"Info","Arena",4,"Exit_Zone",4
71.219,"Info","Arena",4,"Enter_Zone",1
71.886,"Info","Arena",8,"Exit_Zone",1
71.886,"Info","Arena",8,"Enter_Zone",4
72.019,"Info","Arena",8,"Exit_Zone",4
72.019,"Info","Arena",8,"Enter_Zone",3
72.052,"Info","Arena",7,"Exit_Zone",2
72.052,"Info","Arena",7,"Enter_Zone",4
72.119,"Info","Arena",7,"Exit_Zone",4
72.119,"Info","Arena",7,"Enter_Zone",3
73.886,"Info","Arena",7,"Exit_Zone",3
73.886,"Info","Arena",7,"Enter_Zone",4
73.952,"Info","Arena",7,"Exit_Zone",4
73.952,"Info","Arena",7,"Enter_Zone",2
74.419,"Info","Arena",8,"Exit_Zone",3
74.419,"Info","Arena",8,"Enter_Zone",1
77.685,"Info","Arena",7,"Exit_Zone",2
77.685,"Info","Arena",7,"Enter_Zone",4
77.952,"Info","Arena",7,"Exit_Zone",4
77.952,"Info","Arena",7,"Enter_Zone",3
77.952,"Info","Arena",8,"Exit_Zone",1
77.952,"Info","Arena",8,"Enter_Zone",4
77.985,"Info","Arena",8,"Exit_Zone",4
77.985,"Info","Arena",8,"Enter_Zone",3
80.152,"Info","Arena",7,"Exit_Zone",3
80.152,"Info","Arena",7,"Enter_Zone",4
80.218,"Info","Arena",7,"Exit_Zone",4
80.218,"Info","Arena",7,"Enter_Zone",2
82.518,"Info","Arena",7,"Exit_Zone",2
82.518,"Info","Arena",7,"Enter_Zone",4
82.585,"Info","Arena",7,"Exit_Zone",4
82.585,"Info","Arena",7,"Enter_Zone",1
84.218,"Info","Arena",7,"Exit_Zone",1
84.218,"Info","Arena",7,"Enter_Zone",4
84.285,"Info","Arena",7,"Exit_Zone",4
84.285,"Info","Arena",7,"Enter_Zone",2
84.751,"Info","Arena",4,"Exit_Zone",1
84.751,"Info","Arena",4,"Enter_Zone",4
84.851,"Info","Arena",4,"Exit_Zone",4
84.851,"Info","Arena",4,"Enter_Zone",2
86.584,"Info","Arena",7,"Exit_Zone",2
86.584,"Info","Arena",7,"Enter_Zone",4
86.684,"Info","Arena",7,"Exit_Zone",4
86.684,"Info","Arena",7,"Enter_Zone",3
88.584,"Info","Arena",7,"Exit_Zone",3
88.584,"Info","Arena",7,"Enter_Zone",4
88.618,"Info","Arena",7,"Exit_Zone",4
88.618,"Info","Arena",7,"Enter_Zone",2
90.384,"Info","Arena",4,"Exit_Zone",2
90.384,"Info","Arena",4,"Enter_Zone",4
90.484,"Info","Arena",4,"Exit_Zone",4
90.484,"Info","Arena",4,"Enter_Zone",1
90.917,"Info","Arena",7,"Exit_Zone",2
90.917,"Info","Arena",7,"Enter_Zone",4
91.051,"Info","Arena",7,"Exit_Zone",4
91.051,"Info","Arena",7,"Enter_Zone",1
93.484,"Info","Arena",5,"Exit_Zone",3
93.484,"Info","Arena",5,"Enter_Zone",4
93.517,"Info","Arena",5,"Exit_Zone",4
93.517,"Info","Arena",5,"Enter_Zone",2
94.884,"Info","Arena",7,"Exit_Zone",1
94.884,"Info","Arena",7,"Enter_Zone",4
94.950,"Info","Arena",7,"Exit_Zone",4
94.950,"Info","Arena",7,"Enter_Zone",2
96.484,"Info","Arena",4,"Exit_Zone",1
96.484,"Info","Arena",4,"Enter_Zone",4
96.517,"Info","Arena",4,"Exit_Zone",4
96.517,"Info","Arena",4,"Enter_Zone",2
96.650,"Info","Arena",7,"Exit_Zone",2
96.650,"Info","Arena",7,"Enter_Zone",4
96.784,"Info","Arena",7,"Exit_Zone",4
96.784,"Info","Arena",7,"Enter_Zone",1
97.817,"Info","Arena",8,"Exit_Zone",3
97.817,"Info","Arena",8,"Enter_Zone",4
97.917,"Info","Arena",8,"Exit_Zone",4
97.917,"Info","Arena",8,"Enter_Zone",1
98.683,"Info","Arena",7,"Exit_Zone",1
98.683,"Info","Arena",7,"Enter_Zone",2
99.650,"Info","Arena",8,"Exit_Zone",1
99.650,"Info","Arena",8,"Enter_Zone",4
99.683,"Info","Arena",8,"Exit_Zone",4
99.683,"Info","Arena",8,"Enter_Zone",3
99.883,"Info","Arena",4,"Exit_Zone",2
99.883,"Info","Arena",4,"Enter_Zone",4
100.050,"Info","Arena",4,"Exit_Zone",4
100.050,"Info","Arena",4,"Enter_Zone",1
101.017,"Info","Arena",7,"Exit_Zone",2
101.017,"Info","Arena",7,"Enter_Zone",4
101.250,"Info","Arena",7,"Exit_Zone",4
101.250,"Info","Arena",7,"Enter_Zone",3
103.216,"Info","Arena",4,"Exit_Zone",1
103.216,"Info","Arena",4,"Enter_Zone",4
103.250,"Info","Arena",4,"Exit_Zone",4
103.250,"Info","Arena",4,"Enter_Zone",2
104.116,"Info","Arena",7,"Exit_Zone",3
104.116,"Info","Arena",7,"Enter_Zone",4
104.350,"Info","Arena",7,"Exit_Zone",4
104.350,"Info","Arena",7,"Enter_Zone",2
105.116,"Info","Arena",4,"Exit_Zone",2
105.116,"Info","Arena",4,"Enter_Zone",4
105.183,"Info","Arena",4,"Exit_Zone",4
105.183,"Info","Arena",4,"Enter_Zone",1
106.316,"Info","Arena",3,"Exit_Zone",3
106.316,"Info","Arena",3,"Enter_Zone",4
106.516,"Info","Arena",3,"Exit_Zone",4
106.516,"Info","Arena",3,"Enter_Zone",1
106.916,"Info","Arena",7,"Exit_Zone",2
106.916,"Info","Arena",7,"Enter_Zone",4
107.083,"Info","Arena",7,"Exit_Zone",4
107.083,"Info","Arena",7,"Enter_Zone",3
108.816,"Info","Arena",8,"Exit_Zone",3
108.816,"Info","Arena",8,"Enter_Zone",4
108.916,"Info","Arena",8,"Exit_Zone",4
108.916,"Info","Arena",8,"Enter_Zone",1
109.816,"Info","Arena",5,"Exit_Zone",2
109.816,"Info","Arena",5,"Enter_Zone",1
109.949,"Info","Arena",7,"Exit_Zone",3
109.949,"Info","Arena",7,"Enter_Zone",4
110.182,"Info","Arena",7,"Exit_Zone",4
110.182,"Info","Arena",7,"Enter_Zone",1
110.716,"Info","Arena",5,"Exit_Zone",1
110.716,"Info","Arena",5,"Enter_Zone",4
110.882,"Info","Arena",5,"Exit_Zone",4
110.882,"Info","Arena",5,"Enter_Zone",3
111.282,"Info","Arena",4,"Exit_Zone",1
111.282,"Info","Arena",4,"Enter_Zone",4
111.549,"Info","Arena",4,"Exit_Zone",4
111.549,"Info","Arena",4,"Enter_Zone",2
112.216,"Info","Arena",7,"Exit_Zone",1
112.216,"Info","Arena",7,"Enter_Zone",4
112.549,"Info","Arena",7,"Exit_Zone",4
112.549,"Info","Arena",7,"Enter_Zone",3
114.582,"Info","Arena",7,"Exit_Zone",3
114.582,"Info","Arena",7,"Enter_Zone",4
114.815,"Info","Arena",7,"Exit_Zone",4
114.815,"Info","Arena",7,"Enter_Zone",1
115.215,"Info","Arena",4,"Exit_Zone",2
115.215,"Info","Arena",4,"Enter_Zone",4
115.249,"Info","Arena",4,"Exit_Zone",4
115.249,"Info","Arena",4,"Enter_Zone",3
115.782,"Info","Arena",5,"Exit_Zone",3
115.782,"Info","Arena",5,"Enter_Zone",4
115.882,"Info","Arena",5,"Exit_Zone",4
115.882,"Info","Arena",5,"Enter_Zone",1
117.615,"Info","Arena",3,"Exit_Zone",1
117.615,"Info","Arena",3,"Enter_Zone",3
118.682,"Info","Arena",5,"Exit_Zone",1
